id;stundenplan_id;datum;status;thema;hausaufgaben;vertretungslehrer_id;tatsaechlicher_raum_id;tatsaechliche_stunde;ist_klausur;notiz
1;11;2026-08-03;gehalten;;;;;;0;
2;12;2026-08-03;gehalten;;;;;;0;
3;24;2026-08-03;gehalten;;;;;;0;
4;25;2026-08-03;gehalten;;;;;;0;
5;26;2026-08-03;entfallen;;;;;;0;
6;27;2026-08-03;gehalten;;;;;;0;
7;37;2026-08-03;gehalten;;;;;;0;
8;38;2026-08-03;gehalten;;;;;;0;
9;43;2026-08-03;gehalten;;;;;;0;
10;44;2026-08-03;gehalten;;;;;;0;
11;49;2026-08-03;gehalten;;;;;;0;
12;62;2026-08-03;gehalten;;;;;;0;
13;67;2026-08-03;gehalten;;;;;;0;
14;68;2026-08-03;gehalten;;;;;;0;
15;73;2026-08-03;entfallen;;;;;;0;
16;74;2026-08-03;gehalten;;;;;;0;
17;88;2026-08-03;gehalten;;;;;;0;
18;89;2026-08-03;gehalten;;;;;;0;
19;103;2026-08-03;gehalten;;;;;;0;
20;104;2026-08-03;gehalten;;;;;;0;
21;106;2026-08-03;gehalten;;;;;;0;
22;107;2026-08-03;gehalten;;;;;;0;
23;112;2026-08-03;vertretung;;;64;;;0;
24;113;2026-08-03;gehalten;;;;;;1;
25;131;2026-08-03;gehalten;;;;;;0;
26;132;2026-08-03;vertretung;;;54;;;1;
27;139;2026-08-03;gehalten;;;;;;0;
28;150;2026-08-03;gehalten;;;;;;0;
29;151;2026-08-03;gehalten;;;;;;0;
30;152;2026-08-03;gehalten;;;;;;0;
31;153;2026-08-03;gehalten;;;;;;0;
32;154;2026-08-03;gehalten;;;;;;0;
33;159;2026-08-03;vertretung;;;71;;;0;
34;160;2026-08-03;gehalten;;;;;;0;
35;174;2026-08-03;gehalten;;;;;;0;
36;175;2026-08-03;gehalten;;;;;;0;
37;189;2026-08-03;gehalten;;;;;;0;
38;190;2026-08-03;gehalten;;;;;;0;
39;196;2026-08-03;gehalten;;;;;;0;
40;197;2026-08-03;gehalten;;;;;;0;
41;206;2026-08-03;gehalten;;;;;;0;
42;207;2026-08-03;gehalten;;;;;;0;
43;223;2026-08-03;gehalten;;;;;;0;
44;226;2026-08-03;gehalten;;;;;;0;
45;227;2026-08-03;gehalten;;;;;;0;
46;234;2026-08-03;gehalten;;;;;;0;
47;235;2026-08-03;gehalten;;;;;;0;
48;236;2026-08-03;gehalten;;;;;;0;
49;260;2026-08-03;entfallen;;;;;;0;
50;261;2026-08-03;gehalten;;;;;;0;
51;266;2026-08-03;gehalten;;;;;;0;
52;267;2026-08-03;gehalten;;;;;;0;
53;268;2026-08-03;gehalten;;;;;;1;
54;269;2026-08-03;gehalten;;;;;;0;
55;283;2026-08-03;gehalten;;;;;;0;
56;284;2026-08-03;gehalten;;;;;;0;
57;293;2026-08-03;gehalten;;;;;;0;
58;294;2026-08-03;gehalten;;;;;;0;
59;297;2026-08-03;gehalten;;;;;;0;
60;298;2026-08-03;gehalten;;;;;;0;
61;310;2026-08-03;entfallen;;;;;;0;
62;311;2026-08-03;gehalten;;;;;;0;
63;316;2026-08-03;entfallen;;;;;;0;
64;317;2026-08-03;entfallen;;;;;;0;
65;339;2026-08-03;gehalten;;;;;;0;
66;340;2026-08-03;gehalten;;;;;;0;
67;343;2026-08-03;gehalten;;;;;;0;
68;344;2026-08-03;gehalten;;;;;;0;
69;349;2026-08-03;gehalten;;;;;;0;
70;350;2026-08-03;gehalten;;;;;;0;
71;371;2026-08-03;gehalten;;;;;;0;
72;372;2026-08-03;gehalten;;;;;;0;
73;387;2026-08-03;gehalten;;;;;;0;
74;388;2026-08-03;gehalten;;;;;;0;
75;404;2026-08-03;gehalten;;;;;;0;
76;405;2026-08-03;gehalten;;;;;;0;
77;406;2026-08-03;gehalten;;;;;;0;
78;407;2026-08-03;gehalten;;;;;;0;
79;414;2026-08-03;gehalten;;;;;;0;
80;415;2026-08-03;gehalten;;;;;;0;
81;429;2026-08-03;gehalten;;;;;;0;
82;430;2026-08-03;gehalten;;;;;;0;
83;433;2026-08-03;gehalten;;;;;;0;
84;434;2026-08-03;gehalten;;;;;;0;
85;439;2026-08-03;gehalten;;;;;;0;
86;440;2026-08-03;gehalten;;;;;;0;
87;446;2026-08-03;gehalten;;;;;;0;
88;447;2026-08-03;gehalten;;;;;;0;
89;464;2026-08-03;gehalten;;;;;;0;
90;465;2026-08-03;entfallen;;;;;;0;
91;488;2026-08-03;gehalten;;;;;;0;
92;489;2026-08-03;gehalten;;;;;;0;
93;498;2026-08-03;gehalten;;;;;;0;
94;499;2026-08-03;gehalten;;;;;;0;
95;507;2026-08-03;gehalten;;;;;;0;
96;508;2026-08-03;gehalten;;;;;;0;
97;511;2026-08-03;vertretung;;;23;;;0;
98;512;2026-08-03;gehalten;;;;;;0;
99;517;2026-08-03;gehalten;;;;;;0;
100;518;2026-08-03;gehalten;;;;;;0;
101;530;2026-08-03;gehalten;;;;;;0;
102;531;2026-08-03;gehalten;;;;;;0;
103;536;2026-08-03;gehalten;;;;;;0;
104;537;2026-08-03;gehalten;;;;;;0;
105;544;2026-08-03;gehalten;;;;;;0;
106;545;2026-08-03;gehalten;;;;;;0;
107;549;2026-08-03;gehalten;;;;;;0;
108;550;2026-08-03;gehalten;;;;;;0;
109;559;2026-08-03;gehalten;;;;;;0;
110;560;2026-08-03;gehalten;;;;;;0;
111;563;2026-08-03;gehalten;;;;;;0;
112;564;2026-08-03;gehalten;;;;;;0;
113;567;2026-08-03;entfallen;;;;;;0;
114;568;2026-08-03;gehalten;;;;;;0;
115;612;2026-08-03;gehalten;;;;;;0;
116;613;2026-08-03;gehalten;;;;;;0;
117;616;2026-08-03;gehalten;;;;;;0;
118;617;2026-08-03;gehalten;;;;;;0;
119;618;2026-08-03;gehalten;;;;;;0;
120;619;2026-08-03;gehalten;;;;;;0;
121;620;2026-08-03;gehalten;;;;;;0;
122;621;2026-08-03;gehalten;;;;;;0;
123;628;2026-08-03;gehalten;;;;;;1;
124;629;2026-08-03;gehalten;;;;;;0;
125;639;2026-08-03;gehalten;;;;;;0;
126;640;2026-08-03;gehalten;;;;;;0;
127;649;2026-08-03;gehalten;;;;;;0;
128;650;2026-08-03;gehalten;;;;;;0;
129;653;2026-08-03;gehalten;;;;;;0;
130;654;2026-08-03;gehalten;;;;;;0;
131;655;2026-08-03;gehalten;;;;;;0;
132;656;2026-08-03;gehalten;;;;;;0;
133;666;2026-08-03;gehalten;;;;;;0;
134;667;2026-08-03;gehalten;;;;;;0;
135;669;2026-08-03;gehalten;;;;;;0;
136;670;2026-08-03;gehalten;;;;;;0;
137;672;2026-08-03;gehalten;;;;;;0;
138;673;2026-08-03;gehalten;;;;;;0;
139;693;2026-08-03;gehalten;;;;;;0;
140;694;2026-08-03;gehalten;;;;;;0;
141;696;2026-08-03;gehalten;;;;;;0;
142;697;2026-08-03;gehalten;;;;;;0;
143;699;2026-08-03;gehalten;;;;;;0;
144;700;2026-08-03;gehalten;;;;;;0;
145;720;2026-08-03;gehalten;;;;;;0;
146;721;2026-08-03;gehalten;;;;;;0;
147;723;2026-08-03;gehalten;;;;;;0;
148;724;2026-08-03;gehalten;;;;;;0;
149;726;2026-08-03;gehalten;;;;;;0;
150;727;2026-08-03;gehalten;;;;;;0;
151;747;2026-08-03;gehalten;;;;;;0;
152;748;2026-08-03;gehalten;;;;;;0;
153;750;2026-08-03;vertretung;;;4;;;0;
154;751;2026-08-03;gehalten;;;;;;0;
155;753;2026-08-03;gehalten;;;;;;0;
156;754;2026-08-03;vertretung;;;28;;;0;
157;774;2026-08-03;gehalten;;;;;;0;
158;775;2026-08-03;gehalten;;;;;;0;
159;777;2026-08-03;gehalten;;;;;;0;
160;778;2026-08-03;gehalten;;;;;;0;
161;780;2026-08-03;gehalten;;;;;;0;
162;781;2026-08-03;gehalten;;;;;;0;
163;801;2026-08-03;gehalten;;;;;;0;
164;802;2026-08-03;gehalten;;;;;;0;
165;804;2026-08-03;gehalten;;;;;;0;
166;805;2026-08-03;gehalten;;;;;;0;
167;807;2026-08-03;gehalten;;;;;;0;
168;808;2026-08-03;gehalten;;;;;;0;
169;810;2026-08-03;gehalten;;;;;;0;
170;811;2026-08-03;gehalten;;;;;;0;
171;813;2026-08-03;gehalten;;;;;;0;
172;814;2026-08-03;gehalten;;;;;;0;
173;816;2026-08-03;gehalten;;;;;;0;
174;817;2026-08-03;gehalten;;;;;;0;
175;825;2026-08-03;gehalten;;;;;;0;
176;826;2026-08-03;gehalten;;;;;;0;
177;835;2026-08-03;gehalten;;;;;;0;
178;836;2026-08-03;gehalten;;;;;;0;
179;845;2026-08-03;gehalten;;;;;;0;
180;846;2026-08-03;gehalten;;;;;;0;
181;855;2026-08-03;gehalten;;;;;;0;
182;856;2026-08-03;gehalten;;;;;;0;
183;877;2026-08-03;gehalten;;;;;;0;
184;878;2026-08-03;gehalten;;;;;;0;
185;880;2026-08-03;gehalten;;;;;;0;
186;881;2026-08-03;gehalten;;;;;;1;
187;890;2026-08-03;gehalten;;;;;;0;
188;891;2026-08-03;gehalten;;;;;;0;
189;900;2026-08-03;gehalten;;;;;;0;
190;901;2026-08-03;gehalten;;;;;;0;
191;910;2026-08-03;entfallen;;;;;;0;
192;911;2026-08-03;gehalten;;;;;;0;
193;920;2026-08-03;gehalten;;;;;;0;
194;921;2026-08-03;gehalten;;;;;;0;
195;923;2026-08-03;gehalten;;;;;;0;
196;924;2026-08-03;vertretung;;;49;;;0;
197;935;2026-08-03;gehalten;;;;;;0;
198;936;2026-08-03;gehalten;;;;;;0;
199;945;2026-08-03;gehalten;;;;;;0;
200;946;2026-08-03;gehalten;;;;;;0;
201;955;2026-08-03;gehalten;;;;;;0;
202;956;2026-08-03;gehalten;;;;;;0;
203;965;2026-08-03;gehalten;;;;;;0;
204;966;2026-08-03;gehalten;;;;;;0;
205;984;2026-08-03;gehalten;;;;;;0;
206;985;2026-08-03;gehalten;;;;;;0;
207;987;2026-08-03;gehalten;;;;;;0;
208;988;2026-08-03;gehalten;;;;;;0;
209;990;2026-08-03;gehalten;;;;;;0;
210;991;2026-08-03;gehalten;;;;;;0;
211;996;2026-08-03;gehalten;;;;;;0;
212;997;2026-08-03;gehalten;;;;;;0;
213;1006;2026-08-03;gehalten;;;;;;0;
214;1007;2026-08-03;vertretung;;;55;;;0;
215;1016;2026-08-03;gehalten;;;;;;0;
216;1017;2026-08-03;gehalten;;;;;;0;
217;1026;2026-08-03;gehalten;;;;;;0;
218;1027;2026-08-03;gehalten;;;;;;0;
219;1042;2026-08-03;gehalten;;;;;;0;
220;1043;2026-08-03;gehalten;;;;;;0;
221;1052;2026-08-03;gehalten;;;;;;0;
222;1053;2026-08-03;vertretung;;;7;;;0;
223;1062;2026-08-03;gehalten;;;;;;0;
224;1063;2026-08-03;gehalten;;;;;;0;
225;1072;2026-08-03;gehalten;;;;;;0;
226;1073;2026-08-03;gehalten;;;;;;0;
227;1091;2026-08-03;gehalten;;;;;;0;
228;1092;2026-08-03;gehalten;;;;;;0;
229;1094;2026-08-03;gehalten;;;;;;0;
230;1095;2026-08-03;gehalten;;;;;;0;
231;1097;2026-08-03;gehalten;;;;;;0;
232;1098;2026-08-03;vertretung;;;44;;;0;
233;1118;2026-08-03;gehalten;;;;;;0;
234;1119;2026-08-03;gehalten;;;;;;1;
235;1121;2026-08-03;gehalten;;;;;;0;
236;1122;2026-08-03;gehalten;;;;;;0;
237;1124;2026-08-03;gehalten;;;;;;0;
238;1125;2026-08-03;gehalten;;;;;;0;
239;1133;2026-08-03;gehalten;;;;;;0;
240;1134;2026-08-03;gehalten;;;;;;0;
241;1143;2026-08-03;gehalten;;;;;;0;
242;1144;2026-08-03;gehalten;;;;;;0;
243;1153;2026-08-03;gehalten;;;;;;0;
244;1154;2026-08-03;gehalten;;;;;;0;
245;1163;2026-08-03;gehalten;;;;;;0;
246;1164;2026-08-03;gehalten;;;;;;0;
247;1180;2026-08-03;gehalten;;;;;;0;
248;1181;2026-08-03;gehalten;;;;;;0;
249;1188;2026-08-03;gehalten;;;;;;0;
250;1189;2026-08-03;gehalten;;;;;;0;
251;1198;2026-08-03;gehalten;;;;;;0;
252;1199;2026-08-03;gehalten;;;;;;0;
253;1208;2026-08-03;gehalten;;;;;;0;
254;1209;2026-08-03;gehalten;;;;;;0;
255;1218;2026-08-03;gehalten;;;;;;0;
256;1219;2026-08-03;gehalten;;;;;;0;
257;1221;2026-08-03;gehalten;;;;;;0;
258;1222;2026-08-03;gehalten;;;;;;0;
259;1233;2026-08-03;gehalten;;;;;;0;
260;1234;2026-08-03;gehalten;;;;;;0;
261;1243;2026-08-03;gehalten;;;;;;0;
262;1244;2026-08-03;gehalten;;;;;;0;
263;1253;2026-08-03;gehalten;;;;;;0;
264;1254;2026-08-03;gehalten;;;;;;0;
265;1263;2026-08-03;gehalten;;;;;;0;
266;1264;2026-08-03;gehalten;;;;;;0;
267;1277;2026-08-03;gehalten;;;;;;0;
268;1278;2026-08-03;gehalten;;;;;;0;
269;1280;2026-08-03;gehalten;;;;;;0;
270;1281;2026-08-03;vertretung;;;61;;;0;
271;1283;2026-08-03;gehalten;;;;;;0;
272;1284;2026-08-03;gehalten;;;;;;0;
273;1294;2026-08-03;gehalten;;;;;;0;
274;1295;2026-08-03;gehalten;;;;;;1;
275;1304;2026-08-03;gehalten;;;;;;0;
276;1305;2026-08-03;gehalten;;;;;;0;
277;1314;2026-08-03;entfallen;;;;;;0;
278;1315;2026-08-03;gehalten;;;;;;0;
279;1330;2026-08-03;gehalten;;;;;;0;
280;1331;2026-08-03;gehalten;;;;;;0;
281;1340;2026-08-03;gehalten;;;;;;0;
282;1341;2026-08-03;gehalten;;;;;;0;
283;1350;2026-08-03;gehalten;;;;;;0;
284;1351;2026-08-03;gehalten;;;;;;0;
